Building ID,construction_site,flower_pot,open_tank,polythene,reservoir,tyres,Object Count
B_11487_12735_1436_1581_81,0,29,0,0,0,0,29
B_9745_11819_1298_1325_79,0,39,0,0,0,0,39
B_4492_7936_1317_1036_4,0,32,0,0,0,0,32
B_2485_5676_1113_1170_90,0,0,0,0,0,0,0
B_2434_5111_982_1213_90,0,0,0,0,0,0,0
B_4764_12906_1565_707_90,0,28,0,0,0,0,28
B_5931_5698_1274_777_79,0,0,0,0,0,0,0
B_11202_8725_974_1012_67,0,21,0,0,0,0,21
B_10676_10520_793_1169_90,0,4,0,0,0,0,4
B_7763_7463_1126_782_90,0,6,0,0,0,0,6
B_12777_7812_1070_804_69,0,131,0,0,1,0,132
B_5705_11502_1000_786_90,0,1,0,0,0,0,1
B_9252_3399_874_890_74,0,1,0,0,0,0,1
B_10304_7186_621_1156_90,0,11,1,0,0,0,12
B_13646_2580_824_864_56,0,0,0,0,0,0,0
B_8738_9861_661_1024_82,0,0,0,0,0,0,0
B_6836_7064_857_788_3,0,5,0,0,0,0,5
B_14859_8613_620_1085_82,0,0,0,0,0,0,0
B_4336_11473_956_691_81,0,44,0,1,0,0,45
B_4073_9941_881_740_83,0,0,0,0,0,0,0
B_8176_4339_1017_616_90,0,9,0,0,0,0,9
B_4790_10074_1118_557_81,0,0,0,0,0,0,0
B_4868_11270_497_1221_0,0,45,0,0,0,0,45
B_6697_12615_646_938_90,0,0,0,0,0,0,0
B_10928_2139_579_1000_54,0,6,1,0,0,0,7
B_10283_13041_700_801_81,0,0,0,0,0,0,0
B_5294_2519_971_552_76,0,26,0,0,0,0,26
B_1864_11248_1051_504_88,0,1,0,0,0,0,1
B_9134_9182_630_838_90,0,54,0,0,0,0,54
B_12811_13031_598_878_90,0,9,0,0,0,0,9
B_6395_10851_836_627_86,0,0,0,0,0,0,0
B_8693_7239_1066_488_15,0,29,0,0,0,0,29
B_5855_2424_887_575_76,0,16,0,0,0,0,16
B_9331_1781_666_747_56,0,0,0,0,0,0,0
B_8022_11840_623_778_85,0,53,0,0,0,0,53
B_6571_11651_702_686_90,0,2,0,0,0,0,2
B_15922_11452_853_563_84,0,57,0,0,0,0,57
B_7147_5460_654_716_83,0,38,0,0,0,0,38
B_5689_9308_1144_408_0,0,0,0,0,0,0,0
B_5223_12546_888_516_87,0,45,0,0,0,0,45
B_10342_1022_761_599_54,0,43,0,0,0,0,43
B_10583_1708_493_921_52,0,33,0,0,0,0,33
B_2139_12367_646_702_90,0,5,0,0,0,0,5
B_9462_2773_532_828_72,0,2,0,0,0,0,2
B_2905_11503_783_562_81,0,17,0,0,0,0,17
B_10088_8123_497_883_76,0,0,0,0,0,0,0
B_14131_11547_558_782_90,0,0,0,0,0,0,0
B_7701_4438_894_486_72,0,9,0,0,0,0,9
B_9230_10519_593_730_77,0,10,0,5,0,0,15
B_3327_12502_853_501_90,0,14,0,0,0,0,14
B_14229_5271_577_737_79,0,4,1,1,0,0,6
B_13416_11925_691_614_85,0,0,0,0,0,1,1
B_11933_4282_612_688_63,0,9,0,0,0,0,9
B_3523_2740_658_638_90,0,9,0,1,0,1,11
B_8713_6771_398_1042_90,7,2,0,0,0,0,9
B_5442_3768_650_637_90,0,0,0,0,0,0,0
B_4458_2233_391_1056_76,0,0,0,0,0,0,0
B_12049_13555_462_890_85,0,14,0,1,0,0,15
B_5696_13545_461_890_90,0,5,0,0,0,1,6
B_13239_3658_722_568_58,1,6,3,0,0,0,10
B_15337_6840_535_764_78,0,6,0,0,0,0,6
B_7699_9795_558_734_90,0,12,0,0,0,0,12
B_6355_4042_605_675_72,0,0,0,0,0,0,0
B_11563_9248_460_878_76,0,0,0,0,0,0,0
B_14260_5847_582_688_75,0,42,0,1,0,0,43
B_14950_10048_468_852_83,0,10,0,0,0,0,10
B_13525_5996_491_810_78,0,44,0,0,0,0,44
B_7485_12605_626_634_90,0,0,0,0,0,0,0
B_9733_2273_562_699_61,0,20,0,0,0,0,20
B_1994_7693_1070_366_86,0,0,0,0,0,0,0
B_9876_1284_1024_380_57,0,41,0,0,0,0,41
B_1730_13066_621_621_90,0,3,0,0,0,0,3
B_13541_6745_842_458_90,0,40,0,0,0,0,40
B_15862_8470_608_634_82,0,0,0,0,0,0,0
B_13347_13301_467_821_82,0,0,0,0,0,0,0
B_12434_3324_699_545_61,0,0,0,0,0,0,0
B_14489_6481_527_721_77,0,0,0,0,0,0,0
B_5806_12604_667_566_82,0,0,0,0,0,0,0
B_14751_11586_453_829_0,0,0,0,0,0,0,0
B_15733_10387_750_502_90,0,0,0,0,0,0,0
B_7675_9162_462_814_90,0,29,2,0,0,0,31
B_4236_10713_578_646_87,0,0,0,0,0,0,0
B_10473_4501_459_809_0,0,0,0,0,0,0,0
B_4554_3005_331_1118_80,0,16,0,0,0,0,16
B_11550_2306_556_660_66,0,0,0,0,0,0,0
B_1596_8889_650_560_90,0,0,0,0,0,0,0
B_13082_9421_600_600_76,0,0,0,0,0,0,0
B_7691_2767_768_469_66,0,23,0,0,0,0,23
B_6853_7662_812_442_3,0,20,0,0,0,0,20
B_11758_7780_460_765_69,0,14,0,0,0,0,14
B_11501_3727_755_466_58,0,31,0,0,0,0,31
B_12799_3829_530_662_90,0,12,0,0,0,0,12
B_9549_12373_467_741_79,0,8,0,0,0,0,8
B_10871_8489_594_582_90,0,0,0,0,0,0,0
B_8732_3699_631_547_73,3,0,0,0,3,0,6
B_12201_7116_492_698_73,7,0,0,1,0,0,8
B_2082_3239_694_495_90,0,3,0,0,0,0,3
B_6155_6701_930_366_90,0,0,0,0,0,0,0
B_12391_8972_591_574_70,0,7,0,0,0,0,7
B_13010_1921_528_641_57,0,0,0,0,0,0,0
B_7383_2987_798_422_90,0,4,0,0,0,0,4
