Building ID,Building Class,construction_site,flower_pot,open_tank,polythene,reservoir,tyres,Object Count
B_9250_1674_921_721_55,1,1,0,0,0,0,0,1
B_9734_2265_550_655_57,1,0,14,0,0,0,0,14
B_10111_2719_559_515_54,0,0,0,0,0,0,0,0
B_9505_2759_479_693_70,1,0,1,0,0,0,0,1
B_9344_3477_660_739_75,1,0,3,0,0,0,0,3
B_10082_4008_449_476_77,1,0,2,0,0,0,0,2
B_10639_3805_361_660_75,1,0,10,0,0,0,0,10
B_10970_4197_498_572_72,1,0,1,0,0,0,0,1
B_10780_4776_388_549_70,0,0,0,0,0,0,0,0
B_11391_5061_382_805_73,1,0,49,0,0,0,0,49
B_12001_5319_486_560_62,1,0,20,0,0,0,0,20
B_11893_5939_426_470_65,1,0,15,0,0,0,0,15
B_11440_6111_400_479_71,1,0,2,0,0,0,0,2
B_11912_6526_589_262_65,1,0,7,0,1,0,0,8
B_12175_6389_572_299_65,1,0,13,0,0,0,0,13
B_12636_6359_355_469_65,1,0,29,0,0,0,0,29
B_12881_6875_434_670_70,1,0,16,0,0,0,0,16
B_10528_7074_578_595_78,1,0,2,0,0,0,0,2
B_11085_6950_380_511_77,1,0,7,0,0,0,0,7
B_8498_6792_465_1471_89,1,3,6,0,0,0,0,9
B_8679_7245_1002_525_0,1,0,30,0,0,0,0,30
B_7764_7266_722_684_4,1,0,9,0,0,0,0,9
B_7745_8207_735_430_5,1,0,41,0,0,0,0,41
B_7738_8687_731_516_6,0,0,0,0,1,0,0,1
B_7674_9155_463_823_88,1,0,31,2,0,0,0,33
B_7692_9794_563_738_87,1,0,13,0,0,0,0,13
B_7748_10312_413_730_87,1,0,5,0,0,0,0,5
B_7982_10789_530_427_80,1,0,23,0,0,0,0,23
B_7936_11306_377_707_80,1,0,19,0,0,0,0,19
B_8609_11025_459_518_79,1,1,14,0,0,0,0,15
B_9142_10934_446_534_78,0,0,0,0,0,0,0,0
B_9744_10819_469_638_79,1,0,13,0,0,0,0,13
B_9222_10443_473_773_77,1,0,12,0,2,0,0,14
B_8885_9830_638_1306_81,1,1,1,0,0,0,0,2
B_9121_9018_848_306_1,1,0,32,0,0,0,0,32
B_9138_9339_325_817_90,1,0,25,0,0,0,1,26
B_9102_8707_930_282_0,1,0,13,0,0,0,0,13
